"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Jul 12 13:56:44 GMT 2023","Wed Jul 12 13:56:44 GMT 2023","0","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_06_Auth | Education > Menu Item [Position Trading] > Test button [Download on the App Store] in the block ""Sign up and trade smart today""  of العَرَبِيَّة language",""
"skipped","Wed Jul 12 13:56:44 GMT 2023","Wed Jul 12 13:56:44 GMT 2023","1","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_05_UnAuth | Educations > Menu item [Position trading] > Test buttons [Trade] on Widget ""Most traded"" of العَرَبِيَّة language",""
"failed","Wed Jul 12 13:47:50 GMT 2023","Wed Jul 12 13:48:36 GMT 2023","46619","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_02_UnReg | Education > Menu Item [Position Trading] > Test button [Trade] in the header of العَرَبِيَّة language",""
"failed","Wed Jul 12 13:32:22 GMT 2023","Wed Jul 12 13:33:17 GMT 2023","54661","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_05_UnAuth | Educations > Menu item [Position trading] > Test buttons [Trade] on Widget ""Most traded"" of English language",""
"failed","Wed Jul 12 13:48:37 GMT 2023","Wed Jul 12 13:49:55 GMT 2023","78388","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_02_UnAuth | Education > Menu Item [Position Trading] > Test button [Trade] in the header of العَرَبِيَّة language",""
"failed","Wed Jul 12 13:31:02 GMT 2023","Wed Jul 12 13:31:52 GMT 2023","50218","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_04_Auth | Education > Menu Item [Position Trading] > Test button [Try Demo] in Main banner of English language",""
"skipped","Wed Jul 12 13:56:44 GMT 2023","Wed Jul 12 13:56:44 GMT 2023","1","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_07_Auth | Education > Menu Item [Position Trading] > Test button [Get it on Google Play] in the block ""Sign up and trade smart today"" of العَرَبِيَّة language",""
"skipped","Wed Jul 12 13:56:44 GMT 2023","Wed Jul 12 13:56:44 GMT 2023","0","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.05_09_Auth | Education > Menu Item [Position Trading] > Test button [Create & verify your account] in the block ""Still looking for a broker you can trust?"" of العَرَبِيَّة language",""
"failed","Wed Jul 12 13:24:27 GMT 2023","Wed Jul 12 13:25:12 GMT 2023","44507","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_01_UnAuth | Education > Menu Item [Position Trading] > Test button [Log in] in the header of English language",""
"failed","Wed Jul 12 13:40:43 GMT 2023","Wed Jul 12 13:41:45 GMT 2023","61856","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_08_Auth | Education > Menu Item [Position Trading] > Test button [Explore Web Platform] in the block ""Sign up and trade smart today"" of English language",""
"skipped","Wed Jul 12 13:56:44 GMT 2023","Wed Jul 12 13:56:44 GMT 2023","0","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_06_UnAuth | Education > Menu Item [Position Trading] > Test button [Download on the App Store] in the block ""Sign up and trade smart today""  of العَرَبِيَّة language",""
"skipped","Wed Jul 12 13:56:44 GMT 2023","Wed Jul 12 13:56:44 GMT 2023","0","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_07_UnReg | Education > Menu Item [Position Trading] > Test button [Get it on Google Play] in the block ""Sign up and trade smart today"" of العَرَبِيَّة language",""
"passed","Wed Jul 12 13:25:57 GMT 2023","Wed Jul 12 13:26:16 GMT 2023","18757","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_02_UnReg | Education > Menu Item [Position Trading] > Test button [Trade] in the header of English language",""
"skipped","Wed Jul 12 13:56:44 GMT 2023","Wed Jul 12 13:56:44 GMT 2023","0","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_05_Auth | Educations > Menu item [Position trading] > Test buttons [Trade] on Widget ""Most traded"" of العَرَبِيَّة language",""
"passed","Wed Jul 12 13:34:11 GMT 2023","Wed Jul 12 13:34:49 GMT 2023","37345","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_06_UnReg | Education > Menu Item [Position Trading] > Test button [Download on the App Store] in the block ""Sign up and trade smart today""  of English language",""
"skipped","Wed Jul 12 13:56:44 GMT 2023","Wed Jul 12 13:56:44 GMT 2023","0","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_04_Auth | Education > Menu Item [Position Trading] > Test button [Try Demo] in Main banner of العَرَبِيَّة language",""
"failed","Wed Jul 12 13:52:18 GMT 2023","Wed Jul 12 13:54:06 GMT 2023","108337","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_03_UnAuth | Education > Menu Item [Position Trading] > Test button [Start Trading] in Main banner of العَرَبِيَّة language",""
"failed","Wed Jul 12 13:33:17 GMT 2023","Wed Jul 12 13:34:11 GMT 2023","54183","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_05_Auth | Educations > Menu item [Position trading] > Test buttons [Trade] on Widget ""Most traded"" of English language",""
"failed","Wed Jul 12 13:55:31 GMT 2023","Wed Jul 12 13:56:28 GMT 2023","57275","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_04_UnReg | Education > Menu Item [Position Trading] > Test button [Try Demo] in Main banner of العَرَبِيَّة language",""
"failed","Wed Jul 12 13:34:49 GMT 2023","Wed Jul 12 13:35:45 GMT 2023","56311","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_06_UnAuth | Education > Menu Item [Position Trading] > Test button [Download on the App Store] in the block ""Sign up and trade smart today""  of English language",""
"skipped","Wed Jul 12 13:56:44 GMT 2023","Wed Jul 12 13:56:44 GMT 2023","0","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_06_UnReg | Education > Menu Item [Position Trading] > Test button [Download on the App Store] in the block ""Sign up and trade smart today""  of العَرَبِيَّة language",""
"failed","Wed Jul 12 13:40:23 GMT 2023","Wed Jul 12 13:40:43 GMT 2023","20169","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_08_UnAuth | Education > Menu Item [Position Trading] > Test button [Explore Web Platform] in the block ""Sign up and trade smart today"" of English language",""
"passed","Wed Jul 12 13:29:47 GMT 2023","Wed Jul 12 13:30:11 GMT 2023","24208","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_04_UnReg | Education > Menu Item [Position Trading] > Test button [Try Demo] in Main banner of English language",""
"skipped","Wed Jul 12 13:56:44 GMT 2023","Wed Jul 12 13:56:44 GMT 2023","0","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_08_UnAuth | Education > Menu Item [Position Trading] > Test button [Explore Web Platform] in the block ""Sign up and trade smart today"" of العَرَبِيَّة language",""
